dist(m),time(s),CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,3.250000000000000000e+02,2.951015786937064072e-29,-3.687750415499958052e-31,-2.914137839620694232e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.260000000000000000e+02,3.558757425363039250e-32,-1.425640356829636480e-32,-2.132967413408863707e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.270000000000000000e+02,1.768244430190530918e-32,-1.227511665619303037e-32,-5.404640906436680613e-33,0.000000000000000000e+00
0.000000000000000000e+00,3.280000000000000000e+02,3.005654419459329953e-32,-1.103873059597219448e-32,-1.901855820082395405e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.290000000000000000e+02,4.614407776130292902e-32,-9.967019172016068204e-33,-3.617739029909898348e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+02,2.888894916580853780e-32,-8.951550377300988174e-33,-1.993939345548410119e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.310000000000000000e+02,-1.360188023223485321e-33,-7.948777288916773481e-33,9.310667574897043327e-33,0.000000000000000000e+00
0.000000000000000000e+00,3.320000000000000000e+02,6.181031415267785066e-33,-6.941883358148957406e-33,7.583349156024741171e-34,0.000000000000000000e+00
0.000000000000000000e+00,3.330000000000000000e+02,1.036391051323381293e-32,-6.299029007571264814e-33,-4.068527007518035740e-33,0.000000000000000000e+00
0.000000000000000000e+00,3.340000000000000000e+02,1.209724746318232520e-32,-5.586396577644791971e-33,-6.512050624459341228e-33,0.000000000000000000e+00
0.000000000000000000e+00,3.350000000000000000e+02,-4.520372335963694477e-20,-2.393967713846514903e-35,4.520372335963696884e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.360000000000000000e+02,-1.661896986073898238e-31,-2.738320702396242125e-33,1.689221117159892146e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.370000000000000000e+02,-4.539421101495351761e-20,-2.435741844338861945e-34,4.539421101495375836e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.380000000000000000e+02,-8.681731077433086619e-32,-1.546317268100624853e-33,8.836407326091686498e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.390000000000000000e+02,-4.558413588454700594e-20,-8.683957169859956326e-34,4.558413588454787261e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000000e+02,-3.058015639822357928e-32,-7.873850544311391611e-34,3.136256543813089384e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.410000000000000000e+02,-4.577350214177420452e-20,-2.148621471678764110e-33,4.577350214177635313e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.420000000000000000e+02,-7.666404884876440718e-32,-1.056417507767959047e-33,7.772331031817738689e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.430000000000000000e+02,-4.596231391565828874e-20,-1.767780403795543820e-33,4.596231391566005819e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.440000000000000000e+02,-3.541363870552792026e-31,-4.778283884388809562e-33,3.589151007297900316e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.450000000000000000e+02,-4.615057529142132830e-20,-1.307954931744696976e-33,4.615057529142263432e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.460000000000000000e+02,-4.056068648190280808e-31,-6.859728057969987732e-33,4.124679902459076085e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.470000000000000000e+02,-4.633829031102386646e-20,-9.699003888634694228e-34,4.633829031102483544e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.480000000000000000e+02,-4.963964061036576209e-31,-7.834063733955903499e-33,5.042325335648831868e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.490000000000000000e+02,-4.652546297366791889e-20,-2.174892301051703708e-34,4.652546297366813555e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+02,-4.939348268934876851e-31,-8.069657781115644889e-33,5.020056770666854453e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.510000000000000000e+02,-4.671209723641709895e-20,-1.602492673758483445e-34,4.671209723641726145e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.520000000000000000e+02,-4.485490840477872302e-31,-7.864738259040611091e-33,4.564153041643938466e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.530000000000000000e+02,-4.689819701457168057e-20,-1.182907312072160559e-34,4.689819701457180094e-20,0.000000000000000000e+00
0.000000000000000000e+00,3.540000000000000000e+02,-4.488801032569787863e-31,-7.370285662150416713e-33,4.562528038253361736e-31,0.000000000000000000e+00
