Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,103.0,300.0,306.0,9.999999999999998e-21,1.0,0.2500084464605508,0.249991553539445,5.220059230568782e-15,0.49999999999999895
0.0,104.0,300.0,308.0,9.999999999999998e-21,1.0,0.25001119032906155,0.24998880967093398,4.431494177939651e-15,0.5000000000000001
0.0,105.0,300.0,310.0,9.999999999999998e-21,1.0,0.2500147731223313,0.24998522687766508,3.770241195878733e-15,0.49999999999999994
0.0,106.0,300.0,312.0,9.999999999999998e-21,1.0,0.25001943533241955,0.24998056466757612,3.2144726595576434e-15,0.5000000000000011
0.0,107.0,300.0,314.0,9.999999999999998e-21,1.0,0.2500254817918984,0.24997451820809666,2.746322684410984e-15,0.5000000000000024
0.0,108.0,300.0,316.0,9.999999999999998e-21,1.0,0.2500332976438052,0.2499667023561915,2.3511257807299685e-15,0.5000000000000011
0.0,109.0,300.0,318.0,9.999999999999998e-21,1.0,0.250043367958885,0.24995663204111335,2.0168111641861207e-15,0.4999999999999998
0.0,110.0,300.0,320.0,9.999999999999998e-21,1.0,0.25005630175632737,0.2499436982436725,1.7334185683065083e-15,0.49999999999999845
0.0,111.0,300.0,322.0,9.999999999999998e-21,1.0,0.25007286132250195,0.24992713867749938,1.4927094265470772e-15,0.4999999999999973
0.0,112.0,300.0,324.0,9.999999999999998e-21,1.0,0.25009399788114856,0.24990600211885391,1.2878535776346847e-15,0.4999999999999961
0.0,113.0,300.0,326.0,9.999999999999998e-21,1.0,0.2501208948724414,0.24987910512755457,1.1131729561828951e-15,0.500000000000003
0.0,114.0,300.0,328.0,9.999999999999998e-21,1.0,0.25015502023201464,0.24984497976797468,9.639484200110666e-16,0.5000000000000098
0.0,115.0,300.0,330.0,9.999999999999998e-21,1.0,0.2501981893413629,0.24980181065862,8.362334686081693e-16,0.5000000000000164
0.0,116.0,300.0,332.0,9.999999999999998e-21,1.0,0.2502526428536259,0.2497473571463716,7.267305732306887e-16,0.5000000000000019
0.0,117.0,300.0,334.0,9.999999999999998e-21,1.0,0.2503211321436084,0.2496788678563861,6.326784557206911e-16,0.5000000000000049
0.0,118.0,300.0,336.0,9.999999999999998e-21,1.0,0.2504070327751747,0.2495929672248171,5.517578983728638e-16,0.5000000000000077
0.0,119.0,300.0,338.0,9.999999999999998e-21,1.0,0.2505144695223784,0.24948553047761088,4.82019051488219e-16,0.5000000000000103
0.0,120.0,300.0,340.0,9.999999999999998e-21,1.0,0.2506484656639424,0.24935153433604446,4.2181889129037165e-16,0.5000000000000128
0.0,121.0,300.0,342.0,9.999999999999998e-21,1.0,0.25081512328462185,0.24918487671536274,3.697703916399691e-16,0.500000000000015
0.0,122.0,300.0,344.0,9.999999999999998e-21,1.0,0.25102184813380435,0.24897815186635944,3.2470075252036833e-16,0.4999999999998361
0.0,123.0,300.0,346.0,9.999999999999998e-21,1.0,0.25127757387666494,0.2487224261234944,2.8561602343235926e-16,0.49999999999984024
0.0,124.0,300.0,348.0,9.999999999999998e-21,1.0,0.2515929804934896,0.2484070195066686,2.5167343427990314e-16,0.49999999999984174
0.0,125.0,300.0,350.0,9.999999999999998e-21,1.0,0.2519809360605694,0.24801906393958753,2.221557926171836e-16,0.499999999999843
0.0,126.0,300.0,352.0,9.999999999999998e-21,1.0,0.25245676622545254,0.2475432337747032,1.9645288081980776e-16,0.49999999999984407
0.0,127.0,300.0,354.0,9.999999999999998e-21,1.0,0.25303871526301874,0.2469612847371342,1.7404927830506726e-16,0.499999999999847
0.0,128.0,300.0,356.0,9.999999999999998e-21,1.0,0.253748249586577,0.2462517504136721,0.0,0.4999999999998794
0.0,129.0,300.0,358.0,9.999999999999998e-21,1.0,0.2546106572487214,0.24538934275147106,1.3739413549520168e-16,0.4999999999998075
0.0,130.0,300.0,360.0,9.999999999999998e-21,1.0,0.25565552606780834,0.2443444739325581,0.0,0.4999999999997478
0.0,131.0,300.0,362.0,9.999999999999998e-21,1.0,0.2569171368711152,0.24308286312920174,1.093602650137241e-16,0.4999999999996829
0.0,132.0,300.0,364.0,9.999999999999998e-21,1.0,0.25843501306773253,0.24156498693273806,0.0,0.4999999999996503
0.0,133.0,300.0,366.0,9.999999999999998e-21,1.0,0.2602542294674619,0.23974577053295573,8.784504633757596e-17,0.4999999999995821
0.0,134.0,300.0,368.0,9.999999999999998e-21,1.0,0.26242567643704157,0.2375743235633477,0.0,0.49999999999972883
0.0,135.0,300.0,370.0,9.999999999999998e-21,1.0,0.2650061574284457,0.23499384257189204,7.129062481183555e-17,0.49999999999966227
0.0,136.0,300.0,372.0,9.999999999999998e-21,1.0,0.26805793759367597,0.23194206240661444,0.0,0.49999999999980793
0.0,137.0,300.0,374.0,9.999999999999998e-21,1.0,0.27164834454218123,0.22835165545806457,5.852932198951382e-17,0.49999999999975403
0.0,138.0,300.0,376.0,9.999999999999998e-21,1.0,0.2758482271863168,0.2241517728138624,0.0,0.49999999999983324
0.0,139.0,300.0,378.0,9.999999999999998e-21,1.0,0.28073033084583454,0.2192696691543433,4.867553963649352e-17,0.49999999999982236
0.0,140.0,300.0,380.0,9.999999999999998e-21,1.0,0.28636636351304,0.21363363648709774,0.0,0.49999999999996003
0.0,141.0,300.0,382.0,9.999999999999998e-21,1.0,0.29282373823779734,0.20717626176222603,4.1047115835048956e-17,0.49999999999997674
0.0,142.0,300.0,384.0,9.999999999999998e-21,1.0,0.3001607419877478,0.19983925801227773,0.0,0.5000000000001801
0.0,143.0,300.0,386.0,9.999999999999998e-21,1.0,0.3084216466118966,0.1915783533880298,3.510861180237747e-17,0.5000000000000736
0.0,144.0,300.0,388.0,9.999999999999998e-21,1.0,0.3176304885286605,0.1823695114713424,0.0,0.500000000000379
0.0,145.0,300.0,390.0,9.999999999999998e-21,1.0,0.3277850712908112,0.17221492870900504,3.043183036170962e-17,0.5000000000001836
0.0,146.0,300.0,392.0,9.999999999999998e-21,1.0,0.338851069313785,0.16114893068603106,2.8455675439495506e-17,0.500000000000184
0.0,147.0,300.0,394.0,9.999999999999998e-21,1.0,0.3507565803428439,0.149243419656972,2.6670739707025793e-17,0.5000000000001842
0.0,148.0,300.0,396.0,9.999999999999998e-21,1.0,0.36338867554523596,0.1366113244545798,2.504442472155221e-17,0.5000000000001843
0.0,149.0,300.0,398.0,9.999999999999998e-21,1.0,0.3765918129888765,0.12340818701094267,2.3548082182282873e-17,0.5000000000001807
0.0,150.0,300.0,400.0,9.999999999999998e-21,1.0,0.3901690614446354,0.10983093855518386,2.215697693206876e-17,0.5000000000001807
0.0,151.0,300.0,402.0,9.999999999999998e-21,1.0,0.40388649359199286,0.09611350640782641,2.0850266361229625e-17,0.5000000000001809
