Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,304.0,300.0,708.0,9.999999999999998e-21,1.0,0.9999999999999996,1.4555231954430546e-19,3.886834816681434e-16,0.0
0.0,305.0,300.0,710.0,9.999999999999998e-21,1.0,0.9999999999999996,1.4126677533616766e-19,3.665624119648232e-16,0.0
0.0,306.0,300.0,712.0,9.999999999999998e-21,1.0,0.9999999999999996,1.3713098346438026e-19,3.4581550393103745e-16,0.0
0.0,307.0,300.0,714.0,9.999999999999998e-21,1.0,0.9999999999999996,1.3313896363549337e-19,3.263506300049207e-16,0.0
0.0,308.0,300.0,716.0,9.999999999999998e-21,1.0,0.9999999999999996,1.2928500246337922e-19,3.0808227207010636e-16,0.0
0.0,309.0,300.0,718.0,9.999999999999998e-21,1.0,0.9999999999999997,1.2556364044722334e-19,2.909310174568943e-16,0.0
0.0,310.0,300.0,720.0,9.999999999999998e-21,1.0,0.9999999999999997,1.219696592417025e-19,2.748230955530463e-16,0.0
0.0,311.0,300.0,722.0,9.999999999999998e-21,1.0,0.9999999999999997,1.184980702129958e-19,2.5968995150871906e-16,0.0
0.0,312.0,300.0,724.0,9.999999999999998e-21,1.0,0.9999999999999997,1.151441030473596e-19,2.4546785417826866e-16,0.0
0.0,313.0,300.0,726.0,9.999999999999998e-21,1.0,0.9999999999999997,1.1190319549108826e-19,2.3209753506640825e-16,0.0
0.0,314.0,300.0,728.0,9.999999999999998e-21,1.0,0.9999999999999997,1.0877098310788438e-19,2.1952385595035006e-16,0.0
0.0,315.0,300.0,730.0,9.999999999999998e-21,1.0,0.9999999999999998,1.057432900562585e-19,2.0769550268381812e-16,0.0
0.0,316.0,300.0,732.0,9.999999999999998e-21,1.0,0.9999999999999998,1.028161199026755e-19,1.9656470295040854e-16,0.0
0.0,317.0,300.0,734.0,9.999999999999998e-21,1.0,0.9999999999999998,9.998564732076191e-20,1.8608696614439924e-16,0.0
0.0,318.0,300.0,736.0,9.999999999999998e-21,1.0,0.9999999999999998,9.724820983539451e-20,1.762208434277549e-16,0.0
0.0,319.0,300.0,738.0,9.999999999999998e-21,1.0,0.9999999999999998,9.460030041626692e-20,1.669277063515105e-16,0.0
0.0,320.0,300.0,740.0,9.999999999999998e-21,1.0,0.9999999999999998,9.203855993555081e-20,1.5817154254231118e-16,0.0
0.0,321.0,300.0,742.0,9.999999999999998e-21,1.0,0.9999999999999998,8.955977056026224e-20,1.4991876705248173e-16,0.0
0.0,322.0,300.0,744.0,9.999999999999998e-21,1.0,0.9999999999999998,8.716084894421347e-20,1.4213804810989315e-16,0.0
0.0,323.0,300.0,746.0,9.999999999999998e-21,1.0,0.9999999999999998,8.483884028011759e-20,1.3480014613211944e-16,0.0
0.0,324.0,300.0,748.0,9.999999999999998e-21,1.0,0.9999999999999998,8.259091220068612e-20,1.2787776489366148e-16,0.0
0.0,325.0,300.0,750.0,9.999999999999998e-21,1.0,0.9999999999999999,8.041434926905132e-20,1.213454139230403e-16,0.0
0.0,326.0,300.0,752.0,9.999999999999998e-21,1.0,0.9999999999999999,7.830653959954402e-20,1.1517928119257848e-16,0.0
