x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
2.464000000000000057e+01,2.049399999999999833e-02,1.940783275444441652e-02,1.940783275444441652e-02,1.942907197741286507e-02
2.502499999999999858e+01,2.117930000000000160e-02,1.987526814921161331e-02,1.987526814921161331e-02,1.989691721672433300e-02
2.541000000000000014e+01,2.184429999999999705e-02,2.034051404235654933e-02,2.034051404235654933e-02,2.036254782117606632e-02
2.579500000000000171e+01,2.248750000000000054e-02,2.080273150708250585e-02,2.080273150708250585e-02,2.082512193250167509e-02
2.617999999999999972e+01,2.311340000000000269e-02,2.126104287341124000e-02,2.126104287341124000e-02,2.128375884671031282e-02
2.656500000000000128e+01,2.372370000000000034e-02,2.171453244565324861e-02,2.171453244565324861e-02,2.173753973982508331e-02
2.694999999999999929e+01,2.431179999999999800e-02,2.216224748018978674e-02,2.216224748018978674e-02,2.218550865855314566e-02
2.733500000000000085e+01,2.488240000000000243e-02,2.260319951468178074e-02,2.260319951468178074e-02,2.262667385834971068e-02
2.771999999999999886e+01,2.542310000000000056e-02,2.303636559613808990e-02,2.303636559613808990e-02,2.306000903632214258e-02
2.810500000000000043e+01,2.593200000000000019e-02,2.346069045254397384e-02,2.346069045254397384e-02,2.348445554701061866e-02
2.848999999999999844e+01,2.641390000000000057e-02,2.387508900651401714e-02,2.387508900651401714e-02,2.389892491438518410e-02
2.887500000000000000e+01,2.687230000000000174e-02,2.427844905605043568e-02,2.427844905605043568e-02,2.430230154070057991e-02
2.926000000000000156e+01,2.730330000000000257e-02,2.466963382575346891e-02,2.466963382575346891e-02,2.469344522185836291e-02
2.964499999999999957e+01,2.770109999999999587e-02,2.504748399710613263e-02,2.504748399710613263e-02,2.507119328002910610e-02
3.003000000000000114e+01,2.806780000000000039e-02,2.541082337210829808e-02,2.541082337210829808e-02,2.543436624016703548e-02
3.041499999999999915e+01,2.840350000000000166e-02,2.575846249424778439e-02,2.575846249424778439e-02,2.578177143610839439e-02
3.080000000000000071e+01,2.871240000000000250e-02,2.608920257210701338e-02,2.608920257210701338e-02,2.611220700346227747e-02
3.118499999999999872e+01,2.897200000000000122e-02,2.640184180441304887e-02,2.640184180441304887e-02,2.642446825295852869e-02
3.157000000000000028e+01,2.918799999999999867e-02,2.669518068012514955e-02,2.669518068012514955e-02,2.671735292805015038e-02
